wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: st125985 (st125985-asian-institute-of-technology) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run vm4hu445
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/dsia-st125985/SpineVQA/wandb/run-20260610_075903-vm4hu445
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run E3a-LocalizationContrastive-NewSplit
wandb: ⭐️ View project at https://wandb.ai/st125985-asian-institute-of-technology/SpineVQA-CL
wandb: 🚀 View run at https://wandb.ai/st125985-asian-institute-of-technology/SpineVQA-CL/runs/vm4hu445
================================================================================
E3a: Localization-Aware Contrastive Learning
Positive pair = same disease AND same spinal level pattern
================================================================================
Device: cuda

Loading datasets...
Train samples: 49,617
Val samples:   12,409
Test samples:  2,128

Class counts:
  Subarticular Stenosis              :  10914 | weight=0.017
  Foraminal stenosis                 :   6774 | weight=0.028
  Healthy                            :   4216 | weight=0.045
  Osteophytes                        :   3144 | weight=0.060
  Spinal Canal Stenosis              :   1938 | weight=0.097
  cervical Lordosis                  :   1276 | weight=0.147
  Straight cervical vertebrae        :   1230 | weight=0.153
  sigmoid cervical vertebrae         :    692 | weight=0.272
  cervical Kyphosis                  :    309 | weight=0.609
  Disc space narrowing               :    148 | weight=1.271
  Spondylolisthesis                  :     62 | weight=3.033
  Vertebral collapse                 :     30 | weight=6.269

Training...
================================================================================
Epoch |     Loss |     Task |      Con | TrainCls |   ValCls |   ValLoc | ValOverall | Save
--------------------------------------------------------------------------------
wandb: WARNING Fatal error while uploading data. Some run data will not be synced, but it will still be written to disk. Use `wandb sync` at the end of the run to try uploading.
Epoch 01 | Step 0000/3102 | Loss 3.9675 | Task 3.1745 | Con 2.6435
Epoch 01 | Step 0100/3102 | Loss 3.3401 | Task 2.6870 | Con 2.1768
Epoch 01 | Step 0200/3102 | Loss 2.9618 | Task 2.1998 | Con 2.5402
Epoch 01 | Step 0300/3102 | Loss 2.7515 | Task 1.6725 | Con 3.5969
Epoch 01 | Step 0400/3102 | Loss 2.3003 | Task 1.7188 | Con 1.9383
Epoch 01 | Step 0500/3102 | Loss 2.5125 | Task 1.8148 | Con 2.3257
Epoch 01 | Step 0600/3102 | Loss 2.6263 | Task 1.8278 | Con 2.6618
Epoch 01 | Step 0700/3102 | Loss 2.2556 | Task 1.4572 | Con 2.6613
Epoch 01 | Step 0800/3102 | Loss 3.3479 | Task 2.7322 | Con 2.0524
Epoch 01 | Step 0900/3102 | Loss 2.3364 | Task 1.3934 | Con 3.1436
Epoch 01 | Step 1000/3102 | Loss 2.3760 | Task 1.7716 | Con 2.0146
Epoch 01 | Step 1100/3102 | Loss 2.0127 | Task 1.4341 | Con 1.9286
Epoch 01 | Step 1200/3102 | Loss 2.1889 | Task 1.3432 | Con 2.8191
Epoch 01 | Step 1300/3102 | Loss 1.8207 | Task 1.2326 | Con 1.9603
Epoch 01 | Step 1400/3102 | Loss 3.2924 | Task 2.5821 | Con 2.3678
Epoch 01 | Step 1500/3102 | Loss 2.1055 | Task 1.4177 | Con 2.2926
Epoch 01 | Step 1600/3102 | Loss 2.0569 | Task 1.4846 | Con 1.9077
Epoch 01 | Step 1700/3102 | Loss 1.8162 | Task 0.9505 | Con 2.8855
Epoch 01 | Step 1800/3102 | Loss 1.6189 | Task 0.8826 | Con 2.4544
Epoch 01 | Step 1900/3102 | Loss 2.4480 | Task 1.4901 | Con 3.1930
Epoch 01 | Step 2000/3102 | Loss 2.2635 | Task 1.5956 | Con 2.2264
Epoch 01 | Step 2100/3102 | Loss 4.4082 | Task 3.7008 | Con 2.3581
Epoch 01 | Step 2200/3102 | Loss 2.1317 | Task 1.6300 | Con 1.6726
Epoch 01 | Step 2300/3102 | Loss 1.5552 | Task 0.9927 | Con 1.8750
Epoch 01 | Step 2400/3102 | Loss 2.0589 | Task 1.3107 | Con 2.4941
Epoch 01 | Step 2500/3102 | Loss 1.5522 | Task 0.8615 | Con 2.3022
Epoch 01 | Step 2600/3102 | Loss 2.0485 | Task 1.3464 | Con 2.3404
Epoch 01 | Step 2700/3102 | Loss 1.7064 | Task 0.9894 | Con 2.3898
Epoch 01 | Step 2800/3102 | Loss 2.2467 | Task 1.6924 | Con 1.8475
Epoch 01 | Step 2900/3102 | Loss 1.9912 | Task 1.2777 | Con 2.3783
Epoch 01 | Step 3000/3102 | Loss 2.2026 | Task 1.5153 | Con 2.2913
Epoch 01 | Step 3100/3102 | Loss 1.7790 | Task 1.1858 | Con 1.9774
    1 |   2.4049 |   1.7437 |   2.2040 |    75.11 |    80.54 |    15.66 |      55.81 | ✓
Epoch 02 | Step 0000/3102 | Loss 1.3894 | Task 0.8446 | Con 1.8159
Epoch 02 | Step 0100/3102 | Loss 2.0874 | Task 1.4219 | Con 2.2183
Epoch 02 | Step 0200/3102 | Loss 2.0563 | Task 1.2998 | Con 2.5216
Epoch 02 | Step 0300/3102 | Loss 2.1047 | Task 1.4406 | Con 2.2136
Epoch 02 | Step 0400/3102 | Loss 2.1069 | Task 1.4566 | Con 2.1676
Epoch 02 | Step 0500/3102 | Loss 1.8442 | Task 1.2457 | Con 1.9948
Epoch 02 | Step 0600/3102 | Loss 1.4873 | Task 0.8608 | Con 2.0885
Epoch 02 | Step 0700/3102 | Loss 1.4241 | Task 0.7449 | Con 2.2643
Epoch 02 | Step 0800/3102 | Loss 2.9346 | Task 2.4060 | Con 1.7622
Epoch 02 | Step 0900/3102 | Loss 1.9981 | Task 1.5586 | Con 1.4649
Epoch 02 | Step 1000/3102 | Loss 1.0276 | Task 0.4336 | Con 1.9798
Epoch 02 | Step 1100/3102 | Loss 2.3376 | Task 1.7038 | Con 2.1126
Epoch 02 | Step 1200/3102 | Loss 1.9393 | Task 1.3085 | Con 2.1029
Epoch 02 | Step 1300/3102 | Loss 1.7895 | Task 1.0167 | Con 2.5759
Epoch 02 | Step 1400/3102 | Loss 1.6190 | Task 1.0422 | Con 1.9225
Epoch 02 | Step 1500/3102 | Loss 1.6247 | Task 1.6247 | Con 0.0000
Epoch 02 | Step 1600/3102 | Loss 1.7915 | Task 1.2966 | Con 1.6497
Epoch 02 | Step 1700/3102 | Loss 4.6260 | Task 4.0214 | Con 2.0156
Epoch 02 | Step 1800/3102 | Loss 1.9785 | Task 1.2457 | Con 2.4424
Epoch 02 | Step 1900/3102 | Loss 1.6982 | Task 1.1310 | Con 1.8906
Epoch 02 | Step 2000/3102 | Loss 1.7698 | Task 1.0755 | Con 2.3141
Epoch 02 | Step 2100/3102 | Loss 2.6871 | Task 2.0444 | Con 2.1423
Epoch 02 | Step 2200/3102 | Loss 3.1074 | Task 2.3531 | Con 2.5144
Epoch 02 | Step 2300/3102 | Loss 1.8965 | Task 1.1948 | Con 2.3388
Epoch 02 | Step 2400/3102 | Loss 1.2984 | Task 0.7490 | Con 1.8315
Epoch 02 | Step 2500/3102 | Loss 1.5735 | Task 1.0332 | Con 1.8010
Epoch 02 | Step 2600/3102 | Loss 2.2654 | Task 1.5947 | Con 2.2357
Epoch 02 | Step 2700/3102 | Loss 2.9274 | Task 2.3956 | Con 1.7727
Epoch 02 | Step 2800/3102 | Loss 1.5913 | Task 0.9246 | Con 2.2225
